model_id,n_concepts,activation,t_alpha,rho,divergence,error,sign_agreement
14,19,sigmoid,5,1000.0,0.910588,3.042083e-05,0.850877
14,19,sigmoid,10,10.0,2.259621,1.055267e-03,0.339181
14,19,sigmoid,10,1000.0,0.942602,2.962060e-05,0.836257
14,19,sigmoid,15,10.0,2.258793,9.727775e-04,0.362573
14,19,sigmoid,15,1000.0,0.925101,3.033788e-05,0.830409
14,19,sigmoid,20,10.0,2.298741,4.445000e-04,0.318713
14,19,sigmoid,20,1000.0,0.915455,2.883094e-05,0.842105
14,19,tanh,1,10.0,0.967073,4.234998e-02,0.698830
14,19,tanh,1,1000.0,0.727834,3.479241e-02,0.777778
14,19,tanh,3,10.0,1.149816,6.197041e-02,0.605263
14,19,tanh,3,1000.0,1.078886,4.773912e-02,0.649123
14,19,tanh,5,10.0,1.223960,5.012134e-02,0.590643
14,19,tanh,5,1000.0,1.074610,4.808992e-02,0.657895
14,19,tanh,10,10.0,1.207335,5.926233e-02,0.593567
14,19,tanh,10,1000.0,1.227869,4.662583e-02,0.593567
14,19,tanh,15,10.0,1.213055,4.322401e-02,0.590643
14,19,tanh,15,1000.0,1.177639,3.927352e-02,0.590643
14,19,tanh,20,10.0,1.496799,1.595023e-01,0.505848
14,19,tanh,20,1000.0,1.482372,4.682247e-02,0.497076
15,20,sigmoid,1,10.0,1.747492,1.860355e-03,0.518421
15,20,sigmoid,1,1000.0,0.504231,4.425718e-05,0.960526
15,20,sigmoid,3,10.0,2.085280,1.087074e-03,0.368421
15,20,sigmoid,3,1000.0,0.723792,4.500565e-05,0.878947
15,20,sigmoid,5,10.0,2.086233,1.031963e-03,0.389474
15,20,sigmoid,5,1000.0,0.772909,3.962024e-05,0.873684
15,20,sigmoid,10,10.0,2.125870,1.074616e-03,0.397368
15,20,sigmoid,10,1000.0,0.791061,4.056763e-05,0.842105
15,20,sigmoid,15,10.0,2.151121,1.060895e-03,0.368421
15,20,sigmoid,15,1000.0,0.776166,3.905189e-05,0.836842
15,20,sigmoid,20,10.0,2.219048,5.973155e-04,0.347368
15,20,sigmoid,20,1000.0,0.886253,3.786310e-05,0.781579
15,20,tanh,1,10.0,0.821843,7.853967e-02,0.744737
15,20,tanh,1,1000.0,0.316672,2.232746e-02,0.931579
15,20,tanh,3,10.0,1.061378,1.128490e-01,0.607895
15,20,tanh,3,1000.0,1.022791,9.505453e-02,0.671053
15,20,tanh,5,10.0,1.175569,1.251851e-01,0.589474
15,20,tanh,5,1000.0,1.006954,8.773193e-02,0.628947
15,20,tanh,10,10.0,1.210129,1.277163e-01,0.555263
15,20,tanh,10,1000.0,1.163288,1.249575e-01,0.565789
15,20,tanh,15,10.0,1.295726,1.144480e-01,0.521053
