model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
1,6,sigmoid,spectral,all,1,10000.0,0.438243,1.500122,3.618768e-05,0.966667,206,0.1215,1
1,6,sigmoid,spectral,half,10,1.0,2.012295,6.888154,1.142032e-02,0.433333,22,0.0135,1
1,6,sigmoid,spectral,half,10,10.0,1.760082,6.024822,8.362991e-04,0.533333,45,0.0263,1
1,6,sigmoid,spectral,half,10,100.0,1.891409,6.474359,5.589535e-04,0.366667,316,0.2013,1
1,6,sigmoid,spectral,half,10,1000.0,1.001870,3.429436,9.324294e-05,0.833333,303,0.1846,1
1,6,sigmoid,spectral,half,10,10000.0,0.586245,2.006736,2.200562e-05,0.933333,349,0.2034,1
1,6,sigmoid,spectral,last,20,1.0,2.012297,6.888163,1.142047e-02,0.433333,22,0.0128,1
1,6,sigmoid,spectral,last,20,10.0,1.760082,6.024821,8.362990e-04,0.533333,45,0.0357,1
1,6,sigmoid,spectral,last,20,100.0,1.827058,6.254083,5.391697e-04,0.400000,108,0.1046,1
1,6,sigmoid,spectral,last,20,1000.0,1.014927,3.474131,1.018298e-04,0.800000,148,0.0930,1
1,6,sigmoid,spectral,last,20,10000.0,0.586250,2.006755,2.200614e-05,0.933333,355,0.2171,1
1,6,tanh,frobenius,all,1,1.0,1.871230,6.405284,6.067203e-02,0.366667,173,0.0795,1
1,6,tanh,frobenius,all,1,10.0,1.135199,3.885825,9.874924e-03,0.700000,218,0.0924,1
1,6,tanh,frobenius,all,1,100.0,0.656783,2.248191,2.999562e-03,0.833333,301,0.1316,1
1,6,tanh,frobenius,all,1,1000.0,0.260934,0.893185,4.328147e-04,0.966667,289,0.1298,1
1,6,tanh,frobenius,all,1,10000.0,0.140755,0.481810,1.009257e-04,1.000000,384,0.1745,1
1,6,tanh,frobenius,half,10,1.0,1.957212,6.699605,4.929248e-02,0.366667,148,0.0653,1
1,6,tanh,frobenius,half,10,10.0,1.293480,4.427628,6.349760e-03,0.700000,374,0.1684,1
1,6,tanh,frobenius,half,10,100.0,0.758594,2.596692,1.603284e-03,0.766667,444,0.2103,1
1,6,tanh,frobenius,half,10,1000.0,0.371238,1.270761,3.443468e-04,0.900000,445,0.1993,1
1,6,tanh,frobenius,half,10,10000.0,0.183795,0.629138,7.109038e-05,0.966667,498,0.2417,1
1,6,tanh,frobenius,last,20,1.0,2.105614,7.207588,2.323274e-02,0.300000,430,0.2304,1
1,6,tanh,frobenius,last,20,10.0,1.712815,5.863024,8.398923e-03,0.433333,553,0.2414,1
1,6,tanh,frobenius,last,20,100.0,1.230661,4.212594,2.350884e-03,0.566667,739,0.3183,1
1,6,tanh,frobenius,last,20,1000.0,1.768426,6.053382,7.327033e-03,0.466667,777,0.3526,1
1,6,tanh,frobenius,last,20,10000.0,1.939466,6.638860,7.799002e-03,0.233333,855,0.3737,1
1,6,tanh,nuclear,all,1,1.0,1.502283,5.142366,4.286781e-02,0.600000,162,0.0799,1
1,6,tanh,nuclear,all,1,10.0,1.021602,3.496980,8.782728e-03,0.633333,305,0.1447,1
1,6,tanh,nuclear,all,1,100.0,0.420659,1.439930,1.600109e-03,0.800000,307,0.1476,1
1,6,tanh,nuclear,all,1,1000.0,0.192336,0.658374,2.736634e-04,0.966667,287,0.1536,1
